aggregate_trade_id,price,quantity,first_trade_id,last_trade_id,timestamp,buyer_is_maker,best_price_match
54331814,"0.31780000","5.83300000",70888782,70888785,1772814073251,true,true
54331815,"0.31770000","0.84000000",70888786,70888787,1772814073251,true,true
54331816,"0.31840000","0.16800000",70888788,70888788,1772814086533,false,true
54331817,"0.31850000","0.01700000",70888789,70888789,1772814095141,false,true
54331818,"0.31850000","1.55400000",70888790,70888790,1772814095143,false,true
54331819,"0.31850000","0.16800000",70888791,70888791,1772814103164,false,true
54331820,"0.31850000","0.16800000",70888792,70888792,1772814103246,false,true
54331821,"0.31850000","0.16800000",70888793,70888793,1772814103253,false,true
54331822,"0.31850000","0.07900000",70888794,70888794,1772814103260,false,true
54331823,"0.31850000","0.08900000",70888795,70888795,1772814105126,false,true
54331824,"0.31850000","0.34800000",70888796,70888796,1772814110929,false,true
54331825,"0.31840000","0.41500000",70888797,70888797,1772814132752,false,true
54331826,"0.31840000","0.41500000",70888798,70888798,1772814132789,false,true
54331827,"0.31840000","0.74100000",70888799,70888799,1772814132815,false,true
54331828,"0.31850000","0.14000000",70888800,70888800,1772814138948,false,true
54331829,"0.31860000","0.39800000",70888801,70888801,1772814139976,false,true
54331830,"0.31860000","1.33900000",70888802,70888807,1772814193500,false,true
54331831,"0.31860000","0.41500000",70888808,70888826,1772814193626,false,true
54331832,"0.31860000","1.19400000",70888827,70888827,1772814193747,false,true
54331833,"0.31860000","0.03200000",70888828,70888828,1772814193756,false,true
54331834,"0.31860000","1.40400000",70888829,70888829,1772814193934,false,true
54331835,"0.31860000","0.31500000",70888830,70888830,1772814193941,false,true
54331836,"0.31860000","0.41500000",70888831,70888831,1772814193948,false,true
54331837,"0.31860000","0.01600000",70888832,70888832,1772814194035,false,true
54331838,"0.31860000","1.36300000",70888833,70888833,1772814194042,false,true
54331839,"0.31860000","1.65200000",70888834,70888835,1772814194534,false,true
54331840,"0.31860000","2.78400000",70888836,70888838,1772814194545,false,true
54331841,"0.31860000","0.41100000",70888839,70888839,1772814195055,true,true
54331842,"0.31860000","0.10600000",70888840,70888840,1772814203513,true,true
54331843,"0.31870000","0.51800000",70888841,70888841,1772814212288,false,true
54331844,"0.31870000","1.71400000",70888842,70888856,1772814212296,false,true
54331845,"0.31870000","0.41500000",70888857,70888860,1772814212381,false,true
54331846,"0.31870000","0.03200000",70888861,70888861,1772814212394,false,true
54331847,"0.31870000","0.41500000",70888862,70888863,1772814212935,false,true
54331848,"0.31870000","0.30800000",70888864,70888870,1772814212941,false,true
54331849,"0.31870000","0.01000000",70888871,70888871,1772814217214,true,true
54331850,"0.31870000","0.16800000",70888872,70888872,1772814222667,false,true
54331851,"0.31860000","0.01000000",70888873,70888873,1772814227642,true,true
54331852,"0.31870000","0.07000000",70888874,70888874,1772814237676,true,true
54331853,"0.31870000","0.16800000",70888875,70888875,1772814240252,false,true
54331854,"0.31870000","0.01100000",70888876,70888876,1772814248442,false,true
54331855,"0.31870000","0.00700000",70888877,70888877,1772814252657,false,true
54331856,"0.31870000","0.00800000",70888878,70888878,1772814255213,false,true
54331857,"0.31850000","0.00900000",70888879,70888879,1772814256021,true,true
54331858,"0.31860000","0.01800000",70888880,70888880,1772814256195,false,true
54331859,"0.31860000","0.01000000",70888881,70888881,1772814257865,true,true
54331860,"0.31860000","0.07000000",70888882,70888882,1772814267640,true,true
54331861,"0.31850000","0.00400000",70888883,70888883,1772814274464,true,true
54331862,"0.31840000","0.15200000",70888884,70888884,1772814280010,true,true
54331863,"0.31840000","0.15200000",70888885,70888885,1772814280036,true,true
54331864,"0.31840000","0.01600000",70888886,70888886,1772814280058,true,true
54331865,"0.31840000","0.59600000",70888887,70888887,1772814284466,true,true
54331866,"0.31840000","0.04000000",70888888,70888888,1772814284468,true,true
54331867,"0.31840000","0.59600000",70888889,70888889,1772814284478,true,true
54331868,"0.31840000","0.01800000",70888890,70888890,1772814284483,true,true
54331869,"0.31840000","0.16800000",70888891,70888891,1772814312404,true,true
54331870,"0.31860000","0.59600000",70888892,70888892,1772814399280,false,true
54331871,"0.31860000","0.14000000",70888893,70888893,1772814399293,false,true
54331872,"0.31860000","0.58500000",70888894,70888894,1772814399296,false,true
54331873,"0.31860000","0.24900000",70888895,70888895,1772814399300,false,true
54331874,"0.31860000","0.16800000",70888896,70888896,1772814414423,false,true
54331875,"0.31850000","0.02000000",70888897,70888897,1772814428159,true,true
54331876,"0.31850000","0.08000000",70888898,70888898,1772814428194,true,true
54331877,"0.31880000","0.08000000",70888899,70888899,1772814472720,false,true
54331878,"0.31880000","0.31000000",70888900,70888900,1772814472751,false,true
54331879,"0.31880000","0.04900000",70888901,70888901,1772814472759,false,true
54331880,"0.31880000","0.99400000",70888902,70888902,1772814473143,false,true
54331881,"0.31880000","1.27000000",70888903,70888911,1772814473150,false,true
54331882,"0.31880000","1.21600000",70888912,70888923,1772814473489,false,true
54331883,"0.31890000","0.41500000",70888924,70888924,1772814478098,false,true
54331884,"0.31890000","1.44500000",70888925,70888935,1772814478104,false,true
54331885,"0.31890000","0.43200000",70888936,70888936,1772814478109,false,true
54331886,"0.31890000","1.14200000",70888937,70888942,1772814478541,false,true
54331887,"0.31890000","0.06200000",70888943,70888943,1772814518978,false,true
54331888,"0.31870000","0.03900000",70888944,70888944,1772814532998,true,true
54331889,"0.31880000","0.16800000",70888945,70888945,1772814534236,false,true
54331890,"0.31890000","0.20400000",70888946,70888947,1772814534236,false,true
54331891,"0.31880000","0.00400000",70888948,70888948,1772814534256,false,true
54331892,"0.31880000","0.16400000",70888949,70888949,1772814552862,false,true
54331893,"0.31890000","0.51000000",70888950,70888950,1772814552862,false,true
54331894,"0.31870000","0.04000000",70888951,70888951,1772814572057,true,true
54331895,"0.31870000","0.08000000",70888952,70888952,1772814572065,true,true
54331896,"0.31870000","0.04000000",70888953,70888953,1772814573220,true,true
54331897,"0.31870000","0.08000000",70888954,70888954,1772814573226,true,true
54331898,"0.31870000","0.08000000",70888955,70888955,1772814573235,true,true
54331899,"0.31870000","0.41500000",70888956,70888956,1772814584101,true,true
54331900,"0.31870000","0.83400000",70888957,70888957,1772814584558,true,true
54331901,"0.31860000","1.00000000",70888958,70888959,1772814593341,true,true
54331902,"0.31890000","1.56900000",70888960,70888960,1772814677494,false,true
54331903,"0.31890000","0.92300000",70888961,70888961,1772814679612,true,true
54331904,"0.31880000","0.00700000",70888962,70888962,1772814736129,false,true
54331905,"0.31880000","0.00600000",70888963,70888963,1772814736200,false,true
54331906,"0.31900000","0.08000000",70888964,70888964,1772814788832,false,true
54331907,"0.31900000","0.04400000",70888965,70888965,1772814789009,false,true
54331908,"0.31900000","0.04400000",70888966,70888966,1772814789016,false,true
54331909,"0.31900000","12.03100000",70888967,70889022,1772814789017,false,true
54331910,"0.31900000","0.59500000",70889023,70889023,1772814789017,false,true
54331911,"0.31900000","0.49500000",70889024,70889024,1772814789038,false,true
54331912,"0.31900000","0.04000000",70889025,70889025,1772814789077,false,true
54331913,"0.31900000","0.08000000",70889026,70889026,1772814789090,false,true
54331914,"0.31900000","0.08000000",70889027,70889027,1772814789102,false,true
54331915,"0.31900000","0.05200000",70889028,70889028,1772814789369,false,true
54331916,"0.31900000","0.04000000",70889029,70889029,1772814790201,false,true
54331917,"0.31900000","0.08000000",70889030,70889030,1772814790207,false,true
54331918,"0.31900000","0.11600000",70889031,70889031,1772814790228,false,true
54331919,"0.31900000","0.41500000",70889032,70889032,1772814790241,false,true
54331920,"0.31900000","0.94500000",70889033,70889033,1772814790787,false,true
54331921,"0.31900000","0.02200000",70889034,70889034,1772814790793,false,true
54331922,"0.31900000","1.12700000",70889035,70889038,1772814790800,false,true
54331923,"0.31900000","0.07000000",70889039,70889039,1772814790806,true,true
